class,sms
ham,"['think', '.', 'first', 'tim', 'saw', 'class', '.']"
ham,"['gram', 'us', 'run', 'lik', '&', 'lt', ';', '#', '&', 'gt', ';', ',', 'half', 'eigh', 'smart', 'though', 'get', 'almost', 'whol', 'second', 'gram', '&', 'lt', ';', '#', '&', 'gt', ';']"
ham,"['k', 'fyi', 'x', 'rid', 'ear', 'tomorrow', 'morn', ""'s"", 'crash', 'plac', 'tonight']"
ham,"['wow', '.', 'nev', 'real', 'embarass', 'accomod', '.', 'thought', 'lik', ',', 'sint', 'best', 'could', 'alway', 'seem', 'happy', '\\the', 'cave\\', '``', '.', ""'m"", 'sorry', ""n't"", ""n't"", 'giv', '.', ""'m"", 'sorry', 'off', '.', ""'m"", 'sorry', 'room', 'embarass', '.', '``']"
spam,"['sms', '.', 'ac', 'sptv', ':', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ic', 'hockey', '.', 'correct', 'incorrect', '?', 'end', '?', 'reply', 'end', 'sptv']"
ham,"['know', 'mallik', 'sheraw', 'yesterday', '?', 'find', '@', '&', 'lt', ';', 'url', '&', 'gt', ';']"
spam,"['congr', '!', '1', 'year', 'spec', 'cinem', 'pass', '2', '.', 'cal', '09061209465', '!', 'c', 'suprm', 'v', ',', 'matrix3', ',', 'starwars3', ',', 'etc', '4', 'fre', '!', 'bx420-ip4-5we', '.', '150pm', '.', 'dont', 'miss', '!']"
ham,"['sorry', ',', ""'ll"", 'cal', 'lat', 'meet', '.']"
ham,"['tel', 'reach']"
ham,"['ye', '..', 'gaut', 'sehw', 'od', 'sery', '.']"
ham,"['gon', 'na', 'pick', '$', '1', 'burg', 'way', 'hom', '.', 'ca', ""n't"", 'ev', 'mov', '.', 'pain', 'kil', '.']"
ham,"['ha', 'ha', 'ha', 'good', 'jok', '.', 'girl', 'situ', 'seek', '.']"
ham,"['part', 'check', 'iq']"
ham,"['sorry', 'room', 'took', 'forev', ',', 'ok', 'com', '?']"
ham,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dress', 'already', 'said', 'wun', 'cut', 'v', 'short', '.', 'said', 'cut', 'look', 'nic', '.']"
spam,"['valu', 'custom', ',', 'pleas', 'adv', 'follow', 'rec', 'review', 'mob', '.', 'award', 'a1500', 'bon', 'priz', ',', 'cal', '09066364589']"
ham,"['today', '\\song', 'ded', 'day', '..', '\\', '``', 'song', 'u', 'ded', '?', 'send', 'ur', 'valu', 'frnds', 'first', 'rply', '...', '``']"
spam,"['urg', 'ur', 'award', 'comply', 'trip', 'eurodisint', 'trav', ',', 'aco', '&', 'entry41', 'a1000', '.', 'claim', 'txt', 'dis', '87121', '18+6', '*', 'a1.50', '(', 'morefrmmob', '.', 'shracomorsglsuplt', ')', '10', ',', 'ls1', '3aj']"
spam,"['hear', 'new', '\\divorce', 'barbie\\', '``', '?', 'com', 'ken', ""'s"", 'stuff', '!', '``']"
ham,"['plan', 'giv', 'mon', 'end', '.']"
ham,"['wah', 'lucky', 'man', '...', 'sav', 'money', '...', 'hee', '...']"
ham,"['fin', 'class', '.']"
ham,"['hi', 'bab', 'im', 'hom', 'wan', 'na', 'someth', '?', 'xx']"
ham,"['k', '..', 'k', ':', ')', '?', 'perform', '?']"
ham,"['u', 'cal', '...']"
ham,"['wait', 'mach', '.', 'cal', 'fre', '.']"
ham,"['that', 'cool', '.', 'gentlem', 'tre', 'dign', 'respect', '.']"
ham,"['lik', 'peopl', 'much', ':', ')', 'shy', 'pa', '.']"
ham,"['op', '&', 'lt', ';', '#', '&', 'gt', ';']"
ham,"['.', 'stil', 'look', 'job', '.', 'much', 'ta', ""'s"", 'earn', '.']"
ham,"['sorry', ',', ""'ll"", 'cal', 'lat']"
ham,"['k.', 'cal', 'ah', '?']"
ham,"['ok', 'way', 'hom', 'hi', 'hi']"
ham,"['plac', 'man']"
ham,"['yup', 'next', 'stop', '.']"
ham,"['cal', 'lat', ',', ""n't"", 'network', '.', 'urgnt', ',', 'sms', '.']"
ham,"['real', 'u', 'get', 'yo', '?', 'nee', '2', 'ticket', 'on', 'jacket', ""'m"", 'don', '.', 'already', 'us', 'mult', '.']"
ham,"['ye', 'start', 'send', 'request', 'mak', 'pain', 'cam', 'back', ""'m"", 'back', 'bed', '.', 'doubl', 'coin', 'fact', '.', 'got', 'ta', 'cash', 'nitro', '.']"
ham,"[""'m"", 'real', 'stil', 'tonight', 'bab']"
ham,"['el', 'kano', '.', ',', 'il', 'download', ',', 'com', 'wen', 'ur', 'fre', '..']"
ham,"['yeah', '!', 'donut', 'stand', 'clos', 'tho-', 'youul', 'catch', 'someth', '!']"
ham,"['sorry', 'pain', '.', 'ok', 'meet', 'anoth', 'night', '?', 'spent', 'lat', 'afternoon', 'casual', 'mean', ""n't"", 'don', 'stuff42moro', 'includ', 'tim', 'sheet', '.', 'sorry', '.']"
ham,"['smil', 'pleas', 'smil', 'pain', 'smil', 'troubl', 'pour', 'lik', 'rain', 'smil', 'sum1', 'hurt', 'u', 'smil', 'becoz', 'someon', 'stil', 'lov', 'see', 'u', 'smil', '!', '!']"
spam,"['pleas', 'cal', 'custom', 'serv', 'repres', '0800', '169', '6031', '10am-9pm', 'guarantee', 'a1000', 'cash', 'a5000', 'priz', '!']"
ham,"['hav', 'plan', 'buy', 'lat', '.', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', '.', 'u', 'fin', 'work', 'already', '?']"
spam,"['fre', 'rington', 'wait', 'collect', '.', 'simply', 'text', 'password', '\\mix\\', '``', '85069', 'ver', '.', 'get', 'ush', 'britney', '.', 'fml']"
ham,"['watch', 'telugu', 'movy', '..', 'wat', 'abt', 'u', '?']"
ham,"['see', '.', 'fin', 'load', 'loan', 'pay']"
ham,"['hi', '.', 'wk', 'ok', '-', 'hol', '!', 'ye', 'bit', 'run', '.', 'forgot', 'hairdress', 'appoint', 'four', 'nee', 'get', 'hom', 'n', 'show', 'beforehand', '.', 'caus', 'prob', 'u', '?', '\\', '``', 'ham', '``']"
ham,"['pleas', ""n't"", 'text', 'anym', '.', 'noth', 'els', 'say', '.']"
ham,"['okay', 'nam', 'ur', 'pric', 'long', 'leg', '!', 'wen', 'pick', '?', 'u', 'av', 'x', 'am', 'xx']"
ham,"[""'m"", 'stil', 'look', 'car', 'buy', '.', 'gon', '4the', 'driv', 'test', 'yet', '.']"
ham,"['per', 'request', ""'melle"", 'mel', '(', 'oru', 'minnaminungint', 'nurungu', 'vettam', ')', ""'"", 'set', 'callertun', 'cal', '.', 'press', '*', '9', 'cop', 'friend', 'callertun']"
ham,"['wow', '.', ""'re"", 'right', '!', ""n't"", 'mean', '.', 'guess', 'gav', 'boston', 'men', 'chang', 'search', 'loc', 'nyc', ',', 'someth', 'chang', '.', 'cuz', 'signin', 'pag', 'stil', 'say', 'boston', '.']"
ham,"['umm', 'lif', 'vav', 'umm', 'lov', 'lot', 'dear']"
ham,"['thank', 'lot', 'wish', 'birthday', '.', 'thank', 'mak', 'birthday', 'tru', 'mem', '.']"
ham,"['aight', ',', ""'ll"", 'hit', 'get', 'cash']"
ham,"['would', 'ip', 'address', 'test', 'consid', 'comput', ""n't"", 'minecraft', 'serv']"
ham,"['know', '!', 'grumpy', 'old', 'peopl', '.', 'mom', 'lik', 'bet', 'lying', '.', 'alway', 'on', 'play', 'jok', '...']"
ham,"['dont', 'worry', '.', 'guess', ""'s"", 'busy', '.']"
ham,"['plur', 'noun', 'research', '?']"
ham,"['going', 'dinner.msg', '.']"
ham,"[""'m"", 'ok', 'wif', 'cos', 'lik', '2', 'try', 'new', 'thing', '.', 'scar', 'u', 'dun', 'lik', 'mah', '.', 'cos', 'u', 'said', 'loud', '.']"
spam,"['gent', '!', 'try', 'contact', '.', 'last', 'weekend', 'draw', 'show', 'a1000', 'priz', 'guarantee', '.', 'cal', '09064012160.', 'claim', 'cod', 'k52', '.', 'valid', '12hrs', '.', '150ppm']"
ham,"['wa', ',', 'ur', 'openin', 'sent', 'form', '...', 'anyway', ',', ""'m"", 'fin', ',', 'juz', 'tt', ""'m"", 'eatin', 'much', 'n', 'puttin', 'weight', '...', 'hah', '...', 'anythin', 'spec', 'hap', '?']"
ham,"['ent', 'cabin', 'pa', 'said', ',', '``', 'happy', ""b'day"", 'boss', '!', '!', '``', '.', 'felt', 'spec', '.', 'askd', '4', 'lunch', '.', 'lunch', 'invit', 'apart', '.', 'went', '.']"
spam,"['win', 'u', 'spec', 'select', '2', 'receiv', 'a1000', '4', '*', 'holiday', '(', 'flight', 'int', ')', 'speak', 'liv', 'op', '2', 'claim', '0871277810910p/min', '(', '18+', ')']"
ham,"['goodo', '!', 'ye', 'must', 'speak', 'friday', '-', 'egg-potato', 'ratio', 'tortill', 'nee', '!']"
ham,"['hmm', '...', 'unc', 'inform', ""'s"", 'pay', 'school', 'direct', '.', 'pls', 'buy', 'food', '.']"
spam,"['priv', '!', '2004', 'account', 'stat', '07742676969', 'show', '786', 'unredeem', 'bon', 'point', '.', 'claim', 'cal', '08719180248', 'ident', 'cod', ':', '45239', 'expir']"
spam,"['urg', '!', 'mobl', '.', 'award', 'a2000', 'bon', 'cal', 'priz', '5/9/03', 'fin', 'try', 'contact', 'u', '!', 'cal', 'landlin', '09064019788', 'box42wr29c', ',', '150ppm']"
ham,"['new', 'address', '-apples', '&', 'pair', '&', 'malarky']"
spam,"['today', 'vod', 'numb', 'end', '7548', 'select', 'receiv', '$', '350', 'award', '.', 'match', 'pleas', 'cal', '08712300220', 'quot', 'claim', 'cod', '4041', 'standard', 'rat', 'ap']"
ham,"['going', 'sao', 'mu', 'today', '.', 'don', '12']"
ham,"['ii', 'predict', 'wat', 'tim', 'i_', ""'ll"", 'fin', 'buy', '?']"
ham,"['good', 'stuff', ',', '.']"
ham,"['know', ',', 'yetund', ""n't"", 'sent', 'money', 'yet', '.', 'sent', 'text', 'both', 'send', '.', ',', 'dont', 'involv', 'anyth', '.', ""n't"", 'impos', 'anyth', 'first', 'plac', ',', 'apolog', '.']"
ham,"['room', '.']"
ham,"['hey', 'girl', '.', 'r', 'u', '?', 'hop', 'u', 'r', 'wel', 'del', 'r', 'bak', '!', 'long', 'tim', 'c', '!', 'giv', 'cal', 'sum', 'tim', 'lucyxx']"
ham,"['k', '..', 'k', ':', ')', 'much', 'cost', '?']"
ham,"[""'m"", 'hom', '.']"
ham,"['dear', ',', 'cal', 'tmorrow.pls', 'accomod', '.']"
ham,"['first', 'answ', 'quest', '.']"
spam,"['sunshin', 'quiz', 'wkly', 'q', '!', 'win', 'top', 'sony', 'dvd', 'play', 'u', 'know', 'country', 'algarv', '?', 'txt', 'ansr', '82277.', 'a1.50', 'sp', ':', 'tyron']"
spam,"['want', '2', 'get', 'laid', 'tonight', '?', 'want', 'real', 'dog', 'loc', 'sent', 'direct', '2', 'ur', 'mob', '?', 'join', 'uk', ""'s"", 'largest', 'dog', 'network', 'bt', 'txting', 'gravel', '69888', '!', 'nt', '.', 'ec2a', '.', '31p.msg', '@', '150p']"
ham,"['haf', 'msn', '.', ""'s"", 'yiju', '@', 'hotmail.com']"
ham,"['.', 'cal', 'meet']"
ham,"['.', 'check', 'room', 'bef', 'act']"
spam,"[""'ll"", 'rcv', 'msgs', 'chat', 'svc', '.', 'fre', 'hardc', 'serv', 'text', 'go', ':', '69988', 'u', 'get', 'noth', 'u', 'must', 'ag', 'ver', 'yr', 'network', '&', 'try']"
ham,"['got', 'c', '...', 'lazy', 'typ', '...', 'forgot', 'i_', 'lect', '...', 'saw', 'pouch', 'lik', 'v', 'nic', '...']"
ham,"['k', ',', 'text', ""'re"", 'way']"
ham,"['sir', ',', 'wait', 'mail', '.']"
ham,"['swt', 'thought', ':', '\\nver', 'get', 'tir', 'littl', 'thing', '4', 'lov', 'person', '..', '\\', '``', 'coz', '..', 'somtim', 'littl', 'thing', 'occupy', 'biggest', 'part', 'heart', '..', 'gud', 'ni8', '``']"
ham,"['know', '.', 'pls', 'op', 'back', '?']"
ham,"['ye', 'see', 'ya', 'dot']"
ham,"['what', 'staff', 'nam', 'tak', 'class', 'us', '?']"
spam,"['freemsg', ""n't"", 'reply', 'text', '?', ""'m"", 'randy', ',', 'sexy', ',', 'fem', 'liv', 'loc', '.', 'luv', 'hear', 'u.', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'reply', 'stop', 'end']"
ham,"['ummma.will', 'cal', 'check', 'in.our', 'lif', 'begin', 'qat', 'pls', 'pray', 'hard', '.']"
ham,"['k', '..', 'delet', 'contact', '?']"
ham,"['sindu', 'got', 'job', 'birl', 'soft', '..']"
ham,"['win', 'flow', ""'m"", 'nev', '..']"
ham,"['yup', 'thk', 'cin', 'bet', 'cos', 'nee', '2', 'go', '2', 'plaz', 'mah', '.']"
ham,"['ok', '...', 'ur', 'typ', 'reply', '...']"
ham,"['per', 'request', ""'melle"", 'mel', '(', 'oru', 'minnaminungint', 'nurungu', 'vettam', ')', ""'"", 'set', 'callertun', 'cal', '.', 'press', '*', '9', 'cop', 'friend', 'callertun']"
ham,"['everywh', 'dirt', ',', 'flo', ',', 'window', ',', 'ev', 'shirt', '.', 'sometim', 'op', 'mou', ',', 'com', 'flow', '.', 'dream', 'world', 'without', ',', 'half', 'chor', '.', 'tim', 'joy', ',', 'lot', 'tv', 'show', 'i.ll', 'see', '.', 'guess', 'lik', 'thing', 'must', 'ex', ',', 'lik', 'rain', ',', 'hail', 'mist', ',', 'tim', 'don', ',', 'becom', 'on', '.']"
ham,"['aaooooright', 'work', '?']"
ham,"[""'m"", 'leav', 'hous', '...']"
ham,"['hello', ',', 'lov', '.', '?', 'get', 'interview', 'today', '?', 'happy', '?', 'good', 'boy', '?', 'think', '?', 'miss', '?']"
spam,"['custom', 'serv', 'annont', '.', 'new', 'year', 'delivery', 'wait', '.', 'pleas', 'cal', '07046744435', 'arrang', 'delivery']"
spam,"['win', 'u', 'spec', 'select', '2', 'receiv', 'a1000', 'cash', '4', '*', 'holiday', '(', 'flight', 'int', ')', 'speak', 'liv', 'op', '2', 'claim', '0871277810810']"
ham,"['keep', 'saf', 'nee', 'miss', 'already', 'envy', 'everyon', 'see', ""'s"", 'real', 'lif']"
ham,"['new', 'car', 'hous', 'par', '.', ':', ')', 'new', 'job', 'hand', ':', ')']"
ham,"[""'m"", 'lov', '.', ""'m"", 'excit', 'day', 'spend', '.', 'mak', 'happy', '.']"
spam,"['-pls', 'stop', 'bootyd', '(', '32/f', ')', 'invit', 'friend', '.', 'reply', 'yes-434', 'no-434', 'see', ':', 'www.sms.ac/u/bootydelious', 'stop', '?', 'send', 'stop', 'frnd', '62468']"
spam,"['bangbab', 'ur', 'ord', 'way', '.', 'u', 'receiv', 'serv', 'msg', '2', 'download', 'ur', 'cont', '.', 'u', ',', 'goto', 'wap', '.', 'bangb', '.', 'tv', 'ur', 'mobl', 'internet/service', 'menu']"
ham,"['plac', 'ur', 'point', 'e', 'cult', 'mod', 'already', '.']"
spam,"['urg', '!', 'try', 'contact', '.', 'last', 'weekend', 'draw', 'show', 'a900', 'priz', 'guarantee', '.', 'cal', '09061701939.', 'claim', 'cod', 's89', '.', 'valid', '12hrs']"
ham,"['hi', 'frnd', ',', 'best', 'way', 'avoid', 'missunderstd', 'wit', 'belov', 'on', ""'s"", '?']"
ham,"['gre', 'escap', '.', 'fant', 'bridg', 'nee', 'lag', '.', 'see', 'tomo']"
ham,"['ye', ':', ')', 'complet', 'form', ':', ')', 'clark', 'also', 'ut', 'wast', '.']"
ham,"['sir', ',', 'nee', 'ax', 'bank', 'account', 'bank', 'address', '.']"
ham,"['hmmm', '..', 'thk', 'sur', 'got', 'tim', 'hop', 'ard', '...', 'ya', ',', 'go', '4', 'fre', 'abt', '...', 'muz', 'cal', 'u', 'discuss', 'liao', '...']"
ham,"['tim', 'com', 'lat', '?']"
ham,"['bloody', 'hel', ',', 'cant', 'believ', 'forgot', 'surnam', 'mr', '.', 'il', 'giv', 'u', 'clu', ',', 'span', 'begin', '...']"
ham,"['wel', ',', ""'m"", 'gon', 'na', 'fin', 'bath', '.', 'good', '...', 'fin', 'night', '.']"
ham,"['let', 'know', ""'ve"", 'got', 'money', 'carlo', 'mak', 'cal']"
ham,"['u', 'stil', 'going', 'mal', '?']"
ham,"['turn', 'friend', 'stay', 'whol', 'show', 'wo', ""n't"", 'back', 'til', '~', '&', 'lt', ';', '#', '&', 'gt', ';', ',', 'feel', 'fre', 'go', 'ahead', 'smok', '$', '&', 'lt', ';', '#', '&', 'gt', ';', 'wor']"
ham,"['text', '.', 'doesnt', 'reply', 'let', 'know', 'log']"
ham,"['hi', '!', 'spok', 'maneesh', 'v.', ""'d"", 'lik', 'know', 'satisfy', 'expery', '.', 'reply', 'tol', 'fre', 'ye', '.']"
ham,"['lift', 'hop', 'off', 'money', '.', 'nee', '.', 'espec', 'end', 'mon', 'approach', 'hurt', 'study', '.', 'anyway', 'gr8', 'weekend']"
ham,"['lol', '.', 'u', 'trust', '.']"
ham,"['ok.', 'gentlem', 'tre', 'dign', 'respect', '.']"
ham,"[',', 'guy', 'clos', '?']"
ham,"['going', 'noth', 'great.bye']"
ham,"['hello', 'handsom', '!', 'find', 'job', '?', 'lazy', '?', 'work', 'toward', 'get', 'back', 'net', 'mummy', '?', ""'s"", 'boytoy', '?', 'miss', '?']"
ham,"['hah', 'awesom', ',', 'minut']"
spam,"['pleas', 'cal', 'custom', 'serv', 'repres', 'freephon', '0808', '145', '4742', '9am-11pm', 'guarantee', 'a1000', 'cash', 'a5000', 'priz', '!']"
ham,"['got', 'xma', 'radio', 'tim', '.', 'get']"
ham,"['jus', 'reach', 'hom', '.', 'go', 'bath', 'first', '.', 'sis', 'us', 'net', 'tel', 'u', 'fin', 'k', '...']"
spam,"['un', 'enough', '?', 'find', '30th', 'august', '.', 'www.areyouunique.co.uk']"
ham,"[""'m"", 'sorry', '.', ""'ve"", 'join', 'leagu', 'peopl', 'dont', 'keep', 'touch', '.', 'mean', 'gre', 'deal', '.', 'friend', 'tim', 'ev', 'gre', 'person', 'cost', '.', 'gre', 'week.|']"
ham,"['hi', ':', ')', 'fin', 'complet', 'cours', ':', ')']"
ham,"['stop', '.', 'howev', 'suggest', 'stay', 'someon', 'abl', 'giv', 'or', 'every', 'stool', '.']"
ham,"['?', 'hop', ""'ve"", 'settl', 'new', 'school', 'year', '.', 'wishin', 'gr8', 'day']"
ham,"['gud', 'mrng', 'dear', 'hav', 'nic', 'day']"
ham,"['u', 'got', 'person', 'story']"
ham,"['hamst', 'dead', '?', 'hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt', '?']"
ham,"['hi', 'kat', 'ev', '?', 'hop', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', '!', 'txt', 'back', 'u', '.', ':', ')', 'xxx']"
ham,"['found', ',', 'ent', '&', 'lt', ';', '#', '&', 'gt', ';', ',', '?']"
ham,"['sent', '&', 'lt', ';', '#', '&', 'gt', ';', 'buck']"
ham,"['hello', 'darlin', 'iv', 'fin', 'colleg', 'txt', 'u', 'fin', 'u', 'lov', 'kat', 'xxx']"
ham,"['account', 'refil', 'success', 'inr', '&', 'lt', ';', 'decim', '&', 'gt', ';', '.', 'keralacirc', 'prepaid', 'account', 'bal', 'rs', '&', 'lt', ';', 'decim', '&', 'gt', ';', '.', 'transact', 'id', 'kr', '&', 'lt', ';', '#', '&', 'gt', ';', '.']"
ham,"['goodmorn', 'sleep', 'ga', '.']"
ham,"['u', 'cal', 'alt', '11', 'ok', '.']"
ham,"['ii', 'say', 'lik', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'ored', 'lar', '...']"
ham,"['ent', 'cabin', 'pa', 'said', ',', '``', 'happy', ""b'day"", 'boss', '!', '!', '``', '.', 'felt', 'spec', '.', 'askd', '4', 'lunch', '.', 'lunch', 'invit', 'apart', '.', 'went', '.']"
ham,"['aight', 'yo', ',', 'dat', 'straight', 'dog']"
ham,"['pleas', 'giv', 'us', 'connect', 'today', '&', 'lt', ';', 'decim', '&', 'gt', ';', 'refund', 'bil']"
ham,"[':', ')', 'shoot', 'big', 'load', 'get', 'ready', '!']"
ham,"[""'s"", 'bruv', ',', 'hop', 'gre', 'break', '.', 'reward', 'semest', '.']"
ham,"['hom', 'alway', 'chat']"
ham,"['k', ':', ')', 'k', ':', ')', 'good', ':', ')', 'study', 'wel', '.']"
ham,"['yup', '...', 'i_', 'noe', 'leh', '...']"
ham,"['sound', 'gre', '!', 'hom', '?']"
ham,"['fin', 'match', 'head', 'toward', 'draw', 'predict', '.']"
ham,"['tir', '.', ""n't"", 'slept', 'wel', 'past', 'night', '.']"
ham,"['easy', 'ah', '?', 'sen', 'got', 'select', 'mean', 'good', '..']"
ham,"['tak', 'exam', 'march', '3']"
